FORWARD SORTATION AREA,ANIMAL TYPE,BREED,COUNT
T5K,Cat,DOMESTIC MEDIUM HAIR,127
T5K,Dog,LABRADOR RETRIEVER,29
T5K,Dog,GERMAN WIRE HAIRED POINTER,1
T5K,Cat,RAGDOLL,6
T5K,Cat,"SHORT HAIR, AMERICAN",9
T5K,Dog,"MALAMUTE, ALASKAN",2
T5K,Dog,"DACHSHUND, STANDARD LONGHAIRED",1
T5K,Dog,SPINONE ITALIANO,1
T5K,Cat,BENGAL,3
T5K,Dog,WIREHAIRED POINTING GRIFFON,1
T5K,Dog,"WELSH CORGI, CARDIGAN",2
T5K,Dog,"ESKIMO, AMERICAN MINIATURE",1
T5K,Dog,WIREHAIRED FOX TERRIER,1
T5K,Dog,NOVA SCOTIA DUCK TOLLING RETRIEVER,1
T5K,Dog,ITALIAN GREYHOUND,2
T5K,Cat,SNOWSHOE,1
T5K,Cat,DOMESTIC LONGHAIR,61
T5K,Dog,TOY PODDLE,7
T5K,Dog,MALTESE,14
T5K,Dog,WEIMARANER,4
T5K,Dog,WEST HIGHLAND TERRIER,7
T5K,Dog,AUSTRALIAN TERRIER,1
T5K,Dog,YORKSHIRE TEACUP TERRIER,9
T5K,Dog,ROUGH COATED COLLIE,3
T5K,Dog,"TERRIER, AMERICAN STAFFORDSHIRE",2
T5K,Dog,RHODESIAN RIDGEBACK,1
T5K,Cat,"CROSSBREED, MEDIUM",1
T5K,Dog,"CHIHUAHUA, LONG HAIR",4
T5K,Dog,BRUSSELS GRIFFON,2
T5K,Cat,"DACHSHUND, STANDARD SMOOTH",1
T5K,Dog,DALMATIAN,1
T5K,Dog,LHASA APSO,2
T5K,Dog,PEKINGESE,3
T5K,Cat,BIRMAN,3
T5K,Dog,GERMAN SHEPHERD,21
T5K,Dog,SHIH TZU,58
T5K,Dog,ROTTWEILER,4
T5K,Dog,"CROSSBREED, MEDIUM",7
T5K,Dog,WIREHAIRED JACK RUSSELL TERRIER,4
T5K,Cat,UNKNOWN,8
T5K,Dog,FRENCH BULLDOG,4
T5K,Dog,"DACHSHUND, STANDARD SMOOTH",7
T5K,Dog,PORTUGUESE WATER DOG,1
T5K,Dog,CANE CORSO,2
T5K,Dog,ENGLISH BULLDOG,2
T5K,Dog,"SHEPHERD, ANATOLIAN",1
T5K,Dog,KEESHOND,1
T5K,Dog,WHIPPET,3
T5K,Dog,CHESAPEAKE BAY RETRIEVER,1
T5K,Cat,"REX, DEVON",1
T5K,Dog,"CHIHUAHUA, TEACUP",1
T5K,Dog,CHOW CHOW,1
T5K,Dog,BOUVIER DES FLANDRES,2
T5K,Cat,HIMALAYAN,5
T5K,Dog,HAVANESE,19
T5K,Dog,"CHIHUAHUA, SMOOTH",30
T5K,Cat,"MANX, SHORT HAIR",4
T5K,Dog,COTON DE TULEAR,1
T5K,Dog,YORKSHIRE TERRIER,21
T5K,Dog,MASTIFF,3
T5K,Dog,UNKNOWN,3
T5K,Dog,COCKAPOO,4
T5K,Dog,"DACHSHUND, MINIATURE LONG HAIR",3
T5K,Dog,NORRBOTTENSPETS,1
T5K,Dog,CAVALIER KING CHARLES SPANIEL,2
T5K,Dog,SHARPEI,2
T5K,Dog,PAPILLON,1
T5K,Dog,BICHON FRISE,23
T5K,Dog,MINIATURE SCHNAUZER,15
T5K,Dog,SOFT COATED WHEATEN TERRIER,8
T5K,Dog,"SPANIEL, AMERICAN COCKER",6
T5K,Dog,SIBERIAN HUSKY,5
T5K,Dog,GREYHOUND,1
T5K,Cat,SIBERIAN (CAT),3
T5K,Dog,"CROSSBREED, SMALL",2
T5K,Dog,ENGLISH COCKER SPANIEL,1
T5K,Dog,SHIBA INU,5
T5K,Dog,STANDARD POODLE,5
T5K,Dog,GREAT DANE,4
T5K,Dog,SCOTTISH TERRIER,2
T5K,Dog,"BULLDOG, AMERICAN",2
T5K,Dog,"FOXHOUND, AMERICAN",1
T5K,Dog,SIAMESE,1
T5K,Dog,IRISH TERRIER,1
T5K,Cat,SCOTTISH FOLD,1
T5K,Dog,YORK CHOCOLATE,1
T5L,Cat,DOMESTIC SHORT HAIR,684
T5L,Dog,MINIATURE POODLE,18
T5L,Dog,RAT TERRIER,3
T5L,Dog,POMERANIAN,50
T5L,Dog,BOXER,30
T5L,Dog,LHASA APSO,24
T5L,Dog,CATAHOULA LEAPARD DOG,7
T5L,Dog,PUG,25
T5L,Dog,OLD ENGLISH SHEEPDOG,2
T5L,Dog,BELGIAN SHEEPDOG,1
T5L,Dog,BULL MASTIFF,7
T5L,Dog,MANCHESTER TOY TERRIER,1
T5L,Dog,PEKINGESE,10
T5L,Dog,"ESKIMO, AMERICAN TOY",2
T5L,Dog,ENGLISH COCKER SPANIEL,8
T5L,Dog,GREAT PYRENEES,3
T5L,Cat,"MANX, LONG HAIR",3
T5L,Dog,PRESA CARANIO,1
T5L,Dog,CHINOOK,1
T5L,Cat,RUSSIAN BLUE,3
T5L,Dog,MASTIFF,9
T5L,Dog,SMOOTH COATED COLLIE,2
T5L,Dog,PORTUGUESE WATER DOG,1
T5L,Dog,TERRIPOO,1
T5L,Dog,SMOOTH FOX TERRIER,1
T5L,Dog,STAFFORDSHIRE BULL TERRIER,2
T5L,Dog,BRIARD,1
T5L,Cat,HIMALAYAN,11
T5L,Dog,GERMAN SHORT HAIR POINTER,5
T5L,Dog,SHARPEI,7
T5L,Dog,SOFT COATED WHEATEN TERRIER,4
T5L,Dog,"CHIHUAHUA, TEACUP",7
T5L,Cat,CAT OF CEYLON,1
T5L,Dog,GREYHOUND,5
T5L,Cat,NORWEGIAN FOREST CAT,1
T5L,Cat,BIRMAN,1
T5L,Dog,KEESHOND,4
T5L,Dog,BOUVIER DES FLANDRES,3
T5L,Dog,NORWEGIAN ELKHOUND,3
T5L,Cat,TURKISH VAN,1
T5L,Cat,"MAU, EGYPTIAN",1
T5L,Dog,WOLFHOUND,1
T5L,Dog,BEARDED COLLIE,1
T5L,Cat,SINGAPURA,2
T5L,Dog,POODLE,29
T5L,Dog,BLACK AND TAN COONHOUND,5
T5L,Dog,COLLIE,24
T5L,Dog,"WELSH CORGI, PEMBROKE",5
T5L,Dog,SHIBA INU,13
T5L,Dog,"ESKIMO, AMERICAN MINIATURE",12
T5L,Cat,PERSIAN,7
T5L,Dog,ROUGH COATED COLLIE,7
T5L,Dog,CAIRN TERRIER,4
T5L,Dog,SHETLAND SHEEPDOG,2
T5L,Dog,STANDARD POODLE,4
T5L,Dog,"CROSSBREED, LARGE",2
T5L,Dog,NEWFOUNDLAND,6
T5L,Dog,SCOTTISH TERRIER,2
T5L,Dog,"DACHSHUND, STANDARD LONGHAIRED",2
T5L,Dog,"DACHSHUND, STANDARD SMOOTH",5
T5L,Dog,WEST HIGHLAND TERRIER,9
T5L,Dog,WIREHAIRED JACK RUSSELL TERRIER,3
T5L,Dog,WEIMARANER,5
T5L,Cat,BENGAL,2
T5L,Cat,"REX, DEVON",3
T5L,Dog,SCHIPPERKE,2
T5L,Dog,"DACHSHUND, MINIATURE WIREHAIRED",1
T5L,Dog,LEONBURGER,1
T5L,Dog,TIBETAN SPANIEL,2
T5L,Cat,"CROSSBREED, MEDIUM",1
T5L,Cat,THAI RIDGEBACK,2
T5L,Dog,SHIH TZU,210
T5L,Dog,AUSTRALIAN SHEPHERD,15
T5L,Dog,JACK RUSSELL TERRIER,36
T5L,Dog,PAPILLON,13
T5L,Cat,"SHORT HAIR, AMERICAN",15
T5L,Dog,"CHIHUAHUA, SMOOTH",58
T5L,Dog,"DACHSHUND, MINIATURE LONG HAIR",12
T5L,Dog,CHOW CHOW,11
T5L,Dog,ENGLISH BULLDOG,7
T5L,Dog,TOY PODDLE,6
T5L,Dog,COCKAPOO,8
T5L,Dog,ENGLISH FOXHOUND,1
T5L,Dog,STANDARD SCHNAUZER,7
T5L,Dog,"WELSH CORGI, CARDIGAN",7
T5L,Dog,POINTER,3
T5L,Dog,KERRY BLUE TERRIER,2
T5L,Dog,"SPANIEL, AMERICAN WATER",1
T5L,Dog,PARSON RUSSELL TERRIER,1
T5L,Dog,OTTER HOUND,1
T5L,Dog,WHIPPET,1
T5L,Dog,MINIATURE PINSCHER,23
T5L,Cat,UNKNOWN,9
T5L,Dog,RED BONE COONHOUND,1
T5L,Dog,SAMOYED,3
T5L,Cat,RAGDOLL,9
T5L,Dog,"DACHSHUND, MINIATURE SMOOTH",27
T5L,Dog,"CHIHUAHUA, LONG HAIR",18
T5L,Dog,"CROSSBREED, MEDIUM",4
T5L,Cat,SIBERIAN (CAT),1
T5L,Dog,NORFOLK TERRIER,1
T5L,Dog,BASENJI,1
T5L,Dog,"HOUND, AFGHAN",3
T5L,Dog,ST. BERNARD,3
T5L,Dog,LAKELAND TERRIER,1
T5L,Dog,DOMESTIC SHORT HAIR,1
T5L,Dog,"SPANIEL, AMERICAN COCKER",44
T5L,Dog,ENGLISH SPRINGER SPANIEL,6
T5L,Dog,BICHON FRISE,102
T5L,Dog,GERMAN LONG HAIR POINTER,1
T5L,Dog,BRUSSELS GRIFFON,1
T5L,Dog,"TERRIER, AMERICAN STAFFORDSHIRE",20
T5L,Dog,RHODESIAN RIDGEBACK,3
T5L,Cat,MAINE COON,5
T5L,Dog,CHESAPEAKE BAY RETRIEVER,1
T5L,Dog,OLD ENGLISH MASTIFF,2
T5L,Dog,SILKY TERRIER,3
T5L,Dog,"SHEPHERD, ANATOLIAN",1
T5L,Cat,ANGORA,1
T5L,Dog,BULL TERRIER,2
T5L,Cat,SIAMESE,36
T5L,Dog,GERMAN SHEPHERD,147
T5L,Dog,BEAGLE,34
T5L,Cat,DOMESTIC MEDIUM HAIR,138
T5L,Dog,"ESKIMO, AMERICAN",23
T5L,Dog,"DOG, AUSTRALIAN CATTLE",15
T5L,Dog,SIBERIAN HUSKY,33
T5L,Cat,DOMESTIC LONGHAIR,64
T5L,Dog,BELGIAN SHEPHERD,5
T5L,Dog,"MALAMUTE, ALASKAN",9
T5L,Dog,HAVANESE,9
T5L,Dog,AKITA,9
T5L,Dog,BASSETT HOUND,7
T5L,Dog,GREAT DANE,11
T5L,Cat,BURMESE,2
T5L,Dog,"BULLDOG, AMERICAN",6
T5L,Dog,NORWEGIAN BUHUND,1
T5L,Dog,PEKEAPOO,4
T5L,Dog,BRITTNAY SPANIEL,3
T5L,Dog,"DACHSHUND, STANDARD WIREHAIRED",3
T5L,Dog,"CROSSBREED, SMALL",2
T5L,Dog,"DOG, CRESTED CHINESE",5
T5L,Cat,"CROSSBREED, SMALL",1
T5L,Dog,PYRENEES SHEPHERD (BERGER DES PYRENEES),1
T5L,Dog,FRENCH BULLDOG,3
T5L,Dog,AUSTRALIAN KELPIE,1
T5L,Dog,VIZSLA,1
T5L,Dog,LABRADOR RETRIEVER,190
T5L,Dog,TERRIER,42
T5L,Dog,ROTTWEILER,59
T5L,Dog,MINIATURE SCHNAUZER,20
T5L,Dog,YORKSHIRE TERRIER,43
T5L,Dog,"PINSCHER, DOBERMAN",10
T5L,Dog,MALTESE,32
T5L,Dog,GOLDEN RETREIVER,42
T5L,Cat,"MANX, SHORT HAIR",6
T5L,Cat,DREVER,1
T5L,Dog,YORKSHIRE TEACUP TERRIER,2
T5L,Dog,GERMAN HUNT TERRIER,1
T5L,Dog,TEACUP POODLE,1
T5L,Dog,AUSTRALIAN SHEEPDOG,1
T5L,Dog,HOUND,2
T5L,Dog,CAVALIER KING CHARLES SPANIEL,6
T5L,Dog,YORK CHOCOLATE,1
T5L,Dog,"TERRIER, AIREDALE",1
T5L,Cat,BALINESE,1
T5L,Dog,NOVA SCOTIA DUCK TOLLING RETRIEVER,2
T5L,Cat,SNOWSHOE,1
T5L,Dog,DALMATIAN,2
T5M,Dog,GERMAN SHEPHERD,75
T5M,Dog,JACK RUSSELL TERRIER,23
T5M,Dog,CHOW CHOW,2
T5M,Dog,KERRY BLUE TERRIER,1
T5M,Dog,BICHON FRISE,51
T5M,Cat,SIAMESE,45
T5M,Dog,SHARPEI,2
T5M,Dog,MINIATURE SCHNAUZER,26
T5M,Dog,PUG,25
T5M,Dog,ENGLISH BULLDOG,4
T5M,Dog,HAVANESE,11
T5M,Dog,"CROSSBREED, MEDIUM",9
T5M,Cat,UNKNOWN,11
T5M,Cat,ORIENTAL SHORT HAIR,1
T5M,Dog,WIREHAIRED JACK RUSSELL TERRIER,6
T5M,Dog,PETIT BASSETT GRIFFON VENDEEN HOUND,1
T5M,Cat,BIRMAN,5
T5M,Dog,SMOOTH COATED COLLIE,3
T5M,Dog,"DACHSHUND, MINIATURE LONG HAIR",5
T5M,Dog,POINTER,1
T5M,Cat,ANGORA,2
T5M,Dog,BASENJI,1
T5M,Dog,"SHEPHERD, ANATOLIAN",1
T5M,Dog,AUSTRALIAN KELPIE,1
T5M,Dog,BLACK AND TAN COONHOUND,2
T5M,Cat,BENGAL,4
T5M,Cat,CAT OF CEYLON,2
T5M,Dog,RHODESIAN RIDGEBACK,4
T5M,Cat,DOMESTIC LONGHAIR,88
T5M,Dog,WEST HIGHLAND TERRIER,6
T5M,Cat,"CROSSBREED, LARGE",1
T5M,Cat,"CROSSBREED, SMALL",3
T5M,Dog,POMERANIAN,23
T5M,Cat,RAGDOLL,8
T5M,Dog,NEWFOUNDLAND,3
T5M,Dog,GREYHOUND,10
T5M,Dog,BOUVIER DES FLANDRES,6
T5M,Dog,BASSETT HOUND,4
T5M,Cat,SNOWSHOE,1
T5M,Dog,CHESAPEAKE BAY RETRIEVER,3
T5M,Dog,GREAT PYRENEES,5
T5M,Cat,HIMALAYAN,7
T5M,Cat,"MANX, LONG HAIR",2
T5M,Cat,"MANX, SHORT HAIR",2
T5M,Dog,WOLFHOUND,2
T5M,Dog,SHIBA INU,2
T5M,Dog,TIBETAN TERRIER,1
T5M,Cat,BOMBAY,1
T5M,Dog,GERMAN PINSCHER,1
T5M,Dog,AUSTRALIAN SHEPHERD,9
T5M,Dog,BOXER,18
T5M,Dog,MINIATURE POODLE,16
T5M,Dog,STANDARD POODLE,6
T5M,Dog,YORKSHIRE TEACUP TERRIER,5
T5M,Dog,GREAT DANE,5
T5M,Dog,TOY PODDLE,5
T5M,Dog,BULL TERRIER,3
T5M,Dog,"DACHSHUND, MINIATURE WIREHAIRED",4
T5M,Dog,PULI,2
T5M,Cat,"CURL, AMERICAN LONG HAIR",1
T5M,Dog,"WELSH CORGI, CARDIGAN",1
T5M,Dog,CANE CORSO,1
T5M,Dog,FLAT COATED RETREIVER,2
T5M,Dog,"CHIHUAHUA, TEACUP",2
T5M,Dog,CAVALIER KING CHARLES SPANIEL,5
T5M,Dog,LEONBURGER,2
T5M,Dog,WIREHAIRED POINTING GRIFFON,1
T5M,Dog,IRISH WOLFHOUND,2
T5M,Dog,"SPANIEL, AMERICAN COCKER",24
T5M,Dog,ENGLISH SPRINGER SPANIEL,9
T5M,Dog,"DACHSHUND, STANDARD LONGHAIRED",2
T5M,Dog,"DACHSHUND, MINIATURE SMOOTH",15
T5M,Dog,YORKSHIRE TERRIER,21
T5M,Cat,"SHORT HAIR, AMERICAN",10
T5M,Dog,"CHIHUAHUA, LONG HAIR",10
T5M,Dog,"CROSSBREED, LARGE",2
T5M,Dog,BRITTNAY SPANIEL,1
T5M,Dog,"TERRIER, AIREDALE",3
T5M,Dog,STANDARD SCHNAUZER,4
T5M,Dog,OLD ENGLISH SHEEPDOG,1
T5M,Dog,HAVANA BROWN,1
T5M,Dog,PAPILLON,4
T5M,Dog,SCHIPPERKE,1
T5M,Dog,BRUSSELS GRIFFON,1
T5M,Dog,JAPANESE CHIN SPANIEL,2
T5M,Dog,LABRADOR RETRIEVER,128
T5M,Dog,BEAGLE,22
T5M,Dog,MALTESE,21
T5M,Dog,"WELSH CORGI, PEMBROKE",6
T5M,Dog,WIREHAIRED FOX TERRIER,2
T5M,Dog,ROUGH COATED COLLIE,9
T5M,Dog,LHASA APSO,13
T5M,Dog,"CHIHUAHUA, SMOOTH",28
T5M,Dog,"DACHSHUND, STANDARD SMOOTH",8
T5M,Dog,SAMOYED,3
T5M,Dog,COCKAPOO,4
T5M,Dog,ENGLISH COCKER SPANIEL,2
T5M,Dog,ITALIANO VOLPINO,1
T5M,Dog,DOMESTIC SHORT HAIR,2
T5M,Dog,"CROSSBREED, SMALL",4
T5M,Cat,BALINESE,2
T5M,Dog,MUNSTERLANDER,1
T5M,Cat,SPHYNX,1
T5M,Dog,BLOODHOUND,1
T5M,Dog,STAFFORDSHIRE BULL TERRIER,1
T5M,Dog,GOLDEN RETREIVER,33
T5M,Dog,"ESKIMO, AMERICAN MINIATURE",5
T5M,Dog,COLLIE,14
T5M,Pigeons,PIGEON,1
T5M,Dog,MINIATURE PINSCHER,9
T5M,Cat,"SIAMESE, APPLEHEAD",2
T5M,Dog,SMOOTH FOX TERRIER,2
T5M,Dog,"BULLDOG, AMERICAN",2
T5M,Dog,BRIARD,1
T5M,Dog,ICELAND DOG,1
T5M,Dog,"DACHSHUND, STANDARD WIREHAIRED",2
T5M,Dog,VIZSLA,1
T5M,Dog,BELGIAN MALINOIS,1
T5M,Cat,"REX, DEVON",1
T5M,Dog,MASTIFF,2
T5M,Dog,SIBERIAN HUSKY,10
T5M,Cat,DOMESTIC SHORT HAIR,544
T5M,Cat,DOMESTIC MEDIUM HAIR,138
T5M,Dog,SHIH TZU,86
T5M,Cat,TURKISH ANGORA,1
T5M,Dog,BELGIAN SHEPHERD,4
T5M,Dog,"HOUND, AFGHAN",3
T5M,Dog,DALMATIAN,1
T5M,Dog,NORWEGIAN BUHUND,1
T5M,Dog,TERRIER,27
T5M,Dog,HOUND,2
T5M,Dog,"MALAMUTE, ALASKAN",4
T5M,Dog,BULL MASTIFF,6
T5M,Dog,POODLE,14
T5M,Cat,RUSSIAN BLUE,2
T5M,Dog,SHETLAND SHEEPDOG,10
T5M,Dog,CATAHOULA LEAPARD DOG,1
T5M,Dog,"TERRIER, AMERICAN STAFFORDSHIRE",3
T5M,Dog,FRENCH BULLDOG,5
T5M,Dog,NOVA SCOTIA DUCK TOLLING RETRIEVER,2
T5M,Dog,NORWEGIAN ELKHOUND,1
T5M,Dog,WHIPPET,1
T5M,Cat,BRITISH SHORT HAIR,1
T5M,Dog,ROTTWEILER,20
T5M,Dog,GERMAN WIRE HAIRED POINTER,3
T5M,Dog,CAIRN TERRIER,6
T5M,Dog,"PINSCHER, DOBERMAN",8
T5M,Dog,PORTUGUESE WATER DOG,2
T5M,Dog,AKITA,5
T5M,Dog,SOFT COATED WHEATEN TERRIER,5
T5M,Dog,"ESKIMO, AMERICAN",11
T5M,Dog,"DOG, AUSTRALIAN CATTLE",6
T5M,Cat,MAINE COON,4
T5M,Cat,PERSIAN,7
T5M,Dog,GERMAN SHORT HAIR POINTER,4
T5M,Dog,WEIMARANER,3
T5M,Dog,SKYE TERRIER,1
T5M,Dog,AUSTRALIAN SHEEPDOG,2
T5M,Dog,KARELIAN BEAR DOG,1
T5M,Cat,NORWEGIAN FOREST CAT,1
T5N,Dog,"CHIHUAHUA, LONG HAIR",11
T5N,Dog,BEAGLE,18
T5N,Dog,SOFT COATED WHEATEN TERRIER,16
T5N,Dog,LABRADOR RETRIEVER,153
T5N,Dog,BICHON FRISE,75
T5N,Dog,MALTESE,21
T5N,Cat,UNKNOWN,13
T5N,Dog,WIREHAIRED POINTING GRIFFON,3
T5N,Dog,LHASA APSO,10
T5N,Dog,FINNISH SPITZ,1
T5N,Dog,BOUVIER DES FLANDRES,6
T5N,Dog,ENGLISH SETTER,3
T5N,Dog,WEST HIGHLAND TERRIER,12
T5N,Dog,TERRIER,23
T5N,Dog,ENGLISH BULLDOG,6
T5N,Cat,RUSSIAN BLUE,2
T5N,Cat,ANGORA,2
T5N,Dog,AUSTRALIAN TERRIER,1
T5N,Dog,"WELSH CORGI, CARDIGAN",2
T5N,Dog,PEKEAPOO,1
T5N,Dog,SCHIPPERKE,1
T5N,Dog,ST. BERNARD,1
T5N,Dog,HAVANESE,21
T5N,Dog,AUSTRALIAN SHEEPDOG,2
T5N,Dog,JACK RUSSELL TERRIER,19
T5N,Dog,BASSETT HOUND,10
T5N,Dog,"DACHSHUND, STANDARD LONGHAIRED",2
T5N,Dog,BELGIAN TERVUREN,1
T5N,Dog,BASENJI,1
T5N,Dog,"MALAMUTE, ALASKAN",4
T5N,Dog,SMOOTH FOX TERRIER,2
T5N,Cat,"MANX, SHORT HAIR",1
T5N,Dog,BEDLINGTON TERRIER,1
T5N,Dog,WIREHAIRED JACK RUSSELL TERRIER,2
T5N,Dog,BERGER PICARD,1
T5N,Cat,DOMESTIC SHORT HAIR,461
T5N,Dog,GOLDEN RETREIVER,82
T5N,Dog,CAVALIER KING CHARLES SPANIEL,2
T5N,Dog,"SPANIEL, AMERICAN COCKER",29
T5N,Dog,"ESKIMO, AMERICAN",8
T5N,Dog,BOXER,24
T5N,Dog,WHIPPET,3
T5N,Cat,"REX, DEVON",1
T5N,Dog,CHESAPEAKE BAY RETRIEVER,3
T5N,Dog,GERMAN SHORT HAIR POINTER,3
T5N,Cat,NORWEGIAN FOREST CAT,1
T5N,Cat,BIRMAN,3
T5N,Dog,"ARGENTINO, DOGO",1
T5N,Cat,TONKINESE,1
T5N,Dog,NORWEGIAN ELKHOUND,3
T5N,Cat,TURKISH ANGORA,3
T5N,Dog,ENGLISH COCKER SPANIEL,2
T5N,Dog,BEARDED COLLIE,1
T5N,Dog,FLAT COATED RETREIVER,1
T5N,Dog,CAIRN TERRIER,11
T5N,Dog,"TERRIER, AIREDALE",14
T5N,Cat,MAINE COON,3
T5N,Dog,POODLE,21
T5N,Dog,COLLIE,10
T5N,Dog,YORKSHIRE TERRIER,32
T5N,Dog,SHARPEI,1
T5N,Cat,RAGDOLL,11
T5N,Dog,BELGIAN SHEPHERD,2
T5N,Dog,AKITA,2
T5N,Dog,DALMATIAN,2
T5N,Dog,TIBETAN TERRIER,1
T5N,Dog,TEACUP POODLE,1
T5N,Dog,BULL MASTIFF,3
T5N,Dog,GREAT DANE,8
T5N,Dog,WELSH TERRIER,1
T5N,Dog,PAPILLON,5
T5N,Dog,BELGIAN SHEEPDOG,1
T5N,Cat,NEBELUNG,1
T5N,Dog,COTON DE TULEAR,1
T5N,Cat,BOMBAY,2
T5N,Dog,FIELD SPANIEL,1
T5N,Cat,"CROSSBREED, MEDIUM",1
T5N,Dog,NEWFOUNDLAND,1
T5N,Dog,YORKSHIRE TEACUP TERRIER,7
T5N,Cat,BURMESE,1
T5N,Dog,"WELSH CORGI, PEMBROKE",5
T5N,Dog,GIANT SCHNAUZER,3
T5N,Cat,DOMESTIC MEDIUM HAIR,100
T5N,Dog,TOY PODDLE,12
T5N,Cat,DOMESTIC LONGHAIR,60
T5N,Dog,"DOG, AUSTRALIAN CATTLE",14
T5N,Dog,OLD ENGLISH SHEEPDOG,4
T5N,Dog,FRENCH BULLDOG,5
T5N,Dog,IRISH WOLFHOUND,3
T5N,Dog,NOVA SCOTIA DUCK TOLLING RETRIEVER,3
T5N,Dog,RHODESIAN RIDGEBACK,3
T5N,Cat,HIMALAYAN,5
T5N,Dog,"ESKIMO, AMERICAN MINIATURE",1
T5N,Dog,DOGUE DE BORDEAUX,1
T5N,Dog,SHETLAND SHEEPDOG,2
T5N,Dog,"SPANIEL, CLUMBER",1
T5N,Dog,"CHIHUAHUA, TEACUP",1
T5N,Dog,"CHIHUAHUA, SMOOTH",16
T5N,Dog,SHIH TZU,77
T5N,Dog,LAKELAND TERRIER,3
T5N,Dog,"CROSSBREED, MEDIUM",13
T5N,Dog,MINIATURE SCHNAUZER,24
T5N,Dog,SCOTTISH TERRIER,4
T5N,Dog,GERMAN PINSCHER,1
T5N,Dog,MINIATURE PINSCHER,12
T5N,Cat,SIAMESE,30
T5N,Dog,MINIATURE POODLE,10
T5N,Dog,ROTTWEILER,14
T5N,Dog,DOMESTIC SHORT HAIR,1
T5N,Dog,HOUND,1
T5N,Dog,"PINSCHER, DOBERMAN",3
T5N,Dog,"TERRIER, AMERICAN STAFFORDSHIRE",8
T5N,Dog,CATAHOULA LEAPARD DOG,2
T5N,Dog,GORDON SETTER,2
T5N,Dog,GREAT PYRENEES,4
T5N,Cat,"MANX, LONG HAIR",3
T5N,Dog,KERRY BLUE TERRIER,4
T5N,Dog,PORTUGUESE WATER DOG,5
T5N,Dog,BLACK AND TAN COONHOUND,1
T5N,Dog,"DOG, CRESTED CHINESE",2
T5N,Dog,"CROSSBREED, SMALL",2
T5N,Dog,NORFOLK TERRIER,1
T5N,Dog,SIBERIAN HUSKY,18
T5N,Dog,"DACHSHUND, STANDARD SMOOTH",7
T5N,Dog,GERMAN SHEPHERD,72
T5N,Dog,STANDARD POODLE,21
T5N,Dog,POMERANIAN,11
T5N,Dog,VIZSLA,1
T5N,Dog,SMOOTH COATED COLLIE,1
T5N,Dog,PUG,21
T5N,Dog,GREYHOUND,3
T5N,Dog,PEKINGESE,2
T5N,Dog,ENGLISH SPRINGER SPANIEL,12
T5N,Dog,SHIBA INU,6
T5N,Cat,"SHORT HAIR, AMERICAN",11
T5N,Dog,BRITTNAY SPANIEL,5
T5N,Dog,TERRIPOO,3
T5N,Dog,KEESHOND,1
T5N,Dog,"CROSSBREED, LARGE",3
T5N,Cat,ORIENTAL SHORT HAIR,2
T5N,Dog,STANDARD SCHNAUZER,5
T5N,Dog,STAFFORDSHIRE BULL TERRIER,2
T5N,Dog,"TERRIER, DANDIE DINMONT",2
T5N,Dog,WIREHAIRED FOX TERRIER,4
T5N,Dog,COCKAPOO,17
T5N,Dog,ROUGH COATED COLLIE,8
T5N,Dog,WEIMARANER,9
T5N,Dog,"DACHSHUND, MINIATURE SMOOTH",11
T5N,Dog,AUSTRALIAN SHEPHERD,17
T5N,Cat,ABYSSINIAN,3
T5N,Dog,POINTER,3
T5N,Dog,BEAUCERON,2
T5N,Dog,MASTIFF,5
T5N,Dog,"BULLDOG, AMERICAN",2
T5N,Dog,SILKY TERRIER,4
T5N,Dog,POWDERPUFF,1
T5N,Dog,"DACHSHUND, MINIATURE LONG HAIR",5
T5N,Cat,SNOWSHOE,6
T5N,Dog,SAMOYED,1
T5N,Cat,PERSIAN,2
T5N,Dog,IRISH SETTER,1
T5N,Dog,NORRBOTTENSPETS,1
T5N,Dog,GERMAN WIRE HAIRED POINTER,1
T5N,Dog,IRISH WATER SPANIEL,1
T5N,Cat,LA PERM,1
T5N,Dog,OLD ENGLISH MASTIFF,1
T5N,Cat,SIBERIAN (CAT),2
T5N,Dog,CANE CORSO,1
T5P,Dog,"CHIHUAHUA, SMOOTH",39
T5P,Dog,MINIATURE POODLE,14
T5P,Dog,TERRIER,44
T5P,Dog,ROUGH COATED COLLIE,6
T5P,Dog,SHIBA INU,9
T5P,Dog,COCKAPOO,8
T5P,Dog,MINIATURE PINSCHER,19
T5P,Dog,BELGIAN MALINOIS,2
T5P,Dog,"CROSSBREED, MEDIUM",7
T5P,Dog,MINIATURE SCHNAUZER,8
T5P,Dog,WHIPPET,4
T5P,Dog,CHOW CHOW,4
T5P,Dog,"CHIHUAHUA, TEACUP",7
T5P,Dog,"WELSH CORGI, CARDIGAN",3
T5P,Cat,"REX, DEVON",1
T5P,Dog,NORWEGIAN ELKHOUND,1
T5P,Dog,CHESAPEAKE BAY RETRIEVER,5
T5P,Dog,AKITA,4
T5P,Dog,GORDON SETTER,1
T5P,Cat,BURMESE,1
T5P,Dog,"WELSH CORGI, PEMBROKE",1
T5P,Cat,"MANX, LONG HAIR",2
T5P,Dog,GREYHOUND,3
T5P,Dog,AUSTRALIAN SHEEPDOG,2
T5P,Dog,MAREMMA,2
T5P,Dog,"ESKIMO, AMERICAN",7
T5P,Dog,GOLDEN RETREIVER,31
T5P,Dog,"DOG, AUSTRALIAN CATTLE",11
